
37/34/85/40/37348540/37348540	Theoretical mechanics.
37/83/83/70/37838370/37838370	Materials and methods for a cardiovascular disease risk factor reduction program :
37/66/82/70/37668270/37668270	United States Geological Survey yearbook.
19/14/88/82/19148882/19148882	Technical bulletin /
19/30/53/32/19305332/19305332	Bulletin.
19/32/52/03/19325203/19325203	Natural history handbook series.
19/96/67/88/19966788/19966788	Department bulletin /
19/58/98/23/19589823/19589823	North American Fauna.
19/66/47/65/19664765/19664765	Embryonic and fetal antigens in cancer :
17/80/23/45/17802345/17802345	Monthly reports of the Department of Agriculture.
17/01/64/89/17016489/17016489	Annual report of the American Museum of Natural History.
17/26/10/86/17261086/17261086	Annual report of the American Museum of Natural History.
17/43/33/33/17433333/17433333	Proceedings of the American Academy of Arts and Sciences.
17/53/16/34/17531634/17531634	Breast Cancer Task Force program and related projects /
25/67/95/27/25679527/25679527	Proceedings of the annual Climate Diagnostics Workshop.
25/40/55/16/25405516/25405516	Board and care for elderly and mentally disabled populations :
77/61/97/31/77619731/77619731	Zeitschrift für anorganische und allgemeine Chemie.
77/35/37/90/77353790/77353790	The Chaldaean.
77/35/37/38/77353738/77353738	The Chaldaean.
77/35/44/73/77354473/77354473	Journal and transactions.
77/35/44/66/77354466/77354466	Publication of the Astronomical Society of Pomona College.
77/55/42/15/77554215/77554215	Teachers&apos; sanitary bulletin.
77/55/70/56/77557056/77557056	The Sanitarian.
77/55/38/61/77553861/77553861	Teachers&apos; sanitary bulletin.
77/55/38/09/77553809/77553809	Teachers&apos; sanitary bulletin.
77/63/05/87/77630587/77630587	Proceedings of the Sanitary Convention ...
77/63/04/43/77630443/77630443	Annual report of the Commissioner of Health of the Commonwealth of Pennsylvania.
77/63/09/98/77630998/77630998	Proceedings of the Sanitary Convention ...
77/62/77/97/77627797/77627797	Annual report.
77/62/77/04/77627704/77627704	Annual report.
77/62/78/48/77627848/77627848	Annual report.
77/62/79/06/77627906/77627906	Annual report.
77/62/80/83/77628083/77628083	Annual report.
77/57/19/65/77571965/77571965	Annual report.
77/57/17/25/77571725/77571725	Annual report ...
77/57/17/87/77571787/77571787	Annual report ...
77/57/46/86/77574686/77574686	Guy&apos;s Hospital reports ...
77/57/02/37/77570237/77570237	The Journal of inebriety.
